business_id,date,likes,text,type,user_id
CgdK8DiyX9Y4kTKEPi_qgA,2011-02-09,0,Great soup & sandwiches!,tip,U54NM7zbsMRPwECY21ialQ
CgdK8DiyX9Y4kTKEPi_qgA,2010-10-04,0,Surprisingly good panini. I'd come here again!,tip,U54NM7zbsMRPwECY21ialQ
SAnMTC1rm-PhP8DQC4zeyg,2012-02-09,0,They do great lunch sandwiches.  Real fresh turkey carved right off the bone.,tip,ZCL6LhChkD-9X7xgnOomjA
75dtVyDb8Sfwb7dR0cBvdg,2012-07-28,0,Saturday brunch!,tip,yziCot_SVSNUh6905qgb2A
75dtVyDb8Sfwb7dR0cBvdg,2012-10-08,0,Breakfast for 2 less than $20 including tip.,tip,6khNhFYFO3KSnRAM_9YdQw
75dtVyDb8Sfwb7dR0cBvdg,2013-06-04,0,Best iced coffee in the area!!,tip,qFisTxqpkutXWDLbCBIpPw
75dtVyDb8Sfwb7dR0cBvdg,2013-10-24,0,For the small bladdered this is an anxiety-provoking combination of caffeine and no public bathroom. Lovely location.,tip,wgeH6WnOEjVDxNmVCEhYxg
75dtVyDb8Sfwb7dR0cBvdg,2014-07-25,0,Breakfast sandwiches served all day.,tip,MkM1_vgGHGF3CceNmXiXog
75dtVyDb8Sfwb7dR0cBvdg,2014-10-06,0,"Styrofoam cups, paper plates, plastic cutlery. I get that you're an understated diner and all, but can't we at least be the tiniest bit eco-friendly??",tip,RfP3ZG1dmhfDAZqGpAgidg
75dtVyDb8Sfwb7dR0cBvdg,2014-10-11,0,Ordered a BLT! Legit had 2 slices of bacon on it! Come on! Never again,tip,3WNu-M1zfLRMF8luSCLLYQ
75dtVyDb8Sfwb7dR0cBvdg,2014-12-31,0,FYI - they no longer accept LevelUp :(,tip,RfP3ZG1dmhfDAZqGpAgidg
75dtVyDb8Sfwb7dR0cBvdg,2015-01-12,0,Great breakfast spot. Fast service!,tip,L7u_py7Sba-knjqO37tCcA
75dtVyDb8Sfwb7dR0cBvdg,2010-02-21,0,Doesn't appear to be open Sundays.,tip,ma11lR_uZQSTCOcj2w4Z_Q
0uvgsJnwyCvNpjHOEYtlyQ,2010-05-13,0,The original home of the Boston Cream pie!,tip,z54KYH5Zv5Hvn7VX6NiW5w
0uvgsJnwyCvNpjHOEYtlyQ,2011-08-22,0,Home of the Original Boston Cream Pie,tip,C_hzfXQ5IWdlZ54HpJw2ig
0uvgsJnwyCvNpjHOEYtlyQ,2011-08-26,0,Kevin's birthday dinner!,tip,JHGjiUQFJFPWCafe4F8qAQ
0uvgsJnwyCvNpjHOEYtlyQ,2011-10-26,0,Old school big breakfast after a long travel day yesterday.,tip,IO70fCrDS1GlrEDkAvsKYg
0uvgsJnwyCvNpjHOEYtlyQ,2012-01-29,1,Make a brunch reservation. The french toast is OOC good.,tip,6nfcw6Sam5VtWn4GBrGUtw
0uvgsJnwyCvNpjHOEYtlyQ,2012-02-11,0,"High prices, mediocre food, and on my first visit, horrendous service.",tip,MDVaxjybf_TPL6Dhjui2TQ
0uvgsJnwyCvNpjHOEYtlyQ,2012-02-19,0,Boston cream pie,tip,mUTdmM6IZJuKhhv0RfDmXg
0uvgsJnwyCvNpjHOEYtlyQ,2012-11-17,0,Mmmmm. Warm Parker House rolls.,tip,aWeVwI8yWger4aGVWj744A
0uvgsJnwyCvNpjHOEYtlyQ,2013-05-11,0,The salads are huge so split one if you can.,tip,9tGdoP4K-GuUqpvK7Vm8qQ
0uvgsJnwyCvNpjHOEYtlyQ,2014-08-02,0,The Parker house rolls are AMAZING!!!!,tip,-7XmIZ5Q2XVG8rStk1qabg
0uvgsJnwyCvNpjHOEYtlyQ,2014-08-24,0,"Great brunch spot, the Seafood Benedict was great, I highly recommend.",tip,KHftFfLfZfFvF2Rw1qz8yg
0uvgsJnwyCvNpjHOEYtlyQ,2014-11-08,0,Amazing breakfast buffet. Best sausage ever had. Lox was mild with right combination of salinity and salmon flavor.,tip,t_nmzyd-EhqZ6G4oZTMVAQ
0uvgsJnwyCvNpjHOEYtlyQ,2015-04-01,0,Had to stop by this historic hotel to try Boston cream pie directly from the place it was created. The restaurant was closed but the gift shop also sells their Boston cream pies! Still made fresh daily and sells out quickly,tip,kxu8sfaGTwvATANUEmSABg
